pid,Name,Gender,Status,Occupation,Study,City,Age,Email
15,Divya,Male,Married,Student,College,Delhi,5,xyz@gmail.com
13,akshay,Male,Single,Profession,School,mandi,23,abc@gmail.com
16,Divya,Male,Single,Profession,College,dehradun,56,abc@gmail.com
7,aditiiii,Male,Married,Profession,School,gityu,7,abc@gmail.com
8,mom,Male,Married,Profession,School,agra,45,xyz@gmail.com
4,Aditya,male,Married,Student,College,malviya nagar,24,xyz@gmail.com
12,Divya,Male,Single,Student,School,Delhi,23,abc@gmail.com
9,kirti,Male,Single,Student,College,dwarka,21,abc@gmail.com
11,saloni,Male,Married,Profession,School,delhi,23,xyz@gmail.com
3,Divya,male,Single,Student,College,Dwarka,21,xyz@gmail.com
10,isha,Male,Married,Student,School,jind,23,abc@gmail.com
14,megha,Male,Single,Profession,School,Delhi,24,xyz@gmail.com
17,divya,Male,Married,Profession,College,nnn,7,
18,Divya,Male,Single,Employment,College,aaa,2,
19,Divya,Male,Married,Profession,School,mmm,1,
20,divya,Male,Married,Employment,School,mm,6,
21,divya,Male,Married,Employment,College,mm,8,
22,Divya,Male,Married,Profession,College,aaa,2,
23,divya,Male,Married,Profession,College,agra,1,
24,divya,Male,Married,Profession,College,mmm,8,
25,Divya,Male,Single,Profession,College,mmm,1,
26,divya,Male,Married,Student,College,iii,8,
27,nnn,Male,live_in_relationship,Profession,College,malviya nagar,1,
28,divya,Male,live_in_relationship,Employment,College,malviya nagar,8,
29,divya,Male,live_in_relationship,Profession,College,Delhi,8,
30,divya,Male,live_in_relationship,Profession,College,Delhi,8,
31,divya,Male,Married,Profession,College,malviya nagar,8,
